ADDR : 4	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 135	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 138	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 141	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 146	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 150	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 152	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 157	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 160	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 165	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 169	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 176	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 180	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 186	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 192	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 198	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 204	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 210	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 213	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 217	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 221	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 226	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 227	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 238	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 245	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 249	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 250	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 256	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 264	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 271	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 275	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 278	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 279	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 284	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 285	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 294	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 302	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 306	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 310	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 311	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 314	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 316	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 319	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 321	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 324	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 327	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 332	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 334	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 336	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 338	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 342	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 352	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 353	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 358	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 359	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 361	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 367	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 373	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 375	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 377	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 378	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 379	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 381	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 382	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 385	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 386	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 387	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 399	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 404	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 408	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 421	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 426	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 429	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 430	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 436	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 437	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 438	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 441	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 442	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 451	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 453	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 462	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 464	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 467	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 468	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 476	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 480	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 483	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 485	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 488	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 494	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 495	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 496	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 500	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 501	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 506	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 507	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 511	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 517	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 519	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 522	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 529	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 530	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 533	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 536	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 541	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 545	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 547	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 552	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 555	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 560	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 564	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 571	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 575	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 581	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 587	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 593	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 599	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 605	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 608	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 612	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 616	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 621	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 622	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 633	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 640	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 644	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 645	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 651	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 659	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 666	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 670	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 673	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 674	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 679	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 680	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 689	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 697	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 701	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 705	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 706	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 709	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 711	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 714	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 716	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 719	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 722	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 727	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 729	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 731	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 733	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 737	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 747	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 748	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 753	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 754	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 756	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 762	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 768	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 770	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 772	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 773	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 774	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 776	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 777	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 780	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 781	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 782	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 794	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 799	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 803	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 816	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 821	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 824	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 825	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 831	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 832	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 833	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 836	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 837	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 846	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 848	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 857	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 859	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 862	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 863	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 871	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 875	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 878	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 880	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 883	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 889	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 890	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 891	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 895	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 896	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 901	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 902	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 906	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 912	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 914	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 917	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 924	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 925	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 928	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 931	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 936	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 940	 DATA :248	 RAM : 0x07c	 ODD_PARITY : 1
ADDR : 942	 DATA :227	 RAM : 0x067	 ODD_PARITY : 1
ADDR : 947	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 950	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 955	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 959	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 966	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 970	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 976	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 982	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 988	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 994	 DATA :234	 RAM : 0x06e	 ODD_PARITY : 1
ADDR : 1000	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 1003	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 1007	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
ADDR : 1011	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 1016	 DATA :242	 RAM : 0x076	 ODD_PARITY : 1
ADDR : 1017	 DATA :233	 RAM : 0x06d	 ODD_PARITY : 1
